6,,,,,WALLET,PAYTM,PAYTM,PAYTM
108,,,,,NET_BANKING,SBI,SBIN,RAZORPAY
109,,,,,NET_BANKING,Kotak Bank,KKBK,RAZORPAY
110,,,,,NET_BANKING,AU Small Finance Bank,AUBL,RAZORPAY
111,,,,,NET_BANKING,Airtel Payments Bank,AIRP,RAZORPAY
112,,,,,NET_BANKING,Andhra Bank,ANDB,RAZORPAY
113,,,,,WALLET,Mobikwik,mobikwik,RAZORPAY
114,,,,,WALLET,PhonePe,phonepe,RAZORPAY
115,,,,,NET_BANKING,Allahabad Bank,ALLA,RAZORPAY
116,,,,,WALLET,Jio Money,jiomoney,RAZORPAY
117,,,,,NET_BANKING,Bank of Baroda - Corporate Banking,BARB_C,RAZORPAY
118,,,,,NET_BANKING,Bank of Bahrain and Kuwait,BBKM,RAZORPAY
119,,,,,NET_BANKING,Bank of Baroda - Retail Banking,BARB_R,RAZORPAY
120,,,,,NET_BANKING,Bank Of India,BKID,RAZORPAY
121,,,,,NET_BANKING,Bank of Maharashtra,MAHB,RAZORPAY
122,,,,,NET_BANKING,Central Bank of India,CBIN,RAZORPAY
123,,,,,NET_BANKING,Canara Bank,CNRB,RAZORPAY
124,,,,,NET_BANKING,Cosmos Bank,COSB,RAZORPAY
125,,,,,NET_BANKING,Catholic Syrian Bank,CSBK,RAZORPAY
126,,,,,NET_BANKING,City Union Bank,CIUB,RAZORPAY
127,,,,,NET_BANKING,Deutsche Bank,DEUT,RAZORPAY
128,,,,,NET_BANKING,DBS Bank,DBSS,RAZORPAY
129,,,,,NET_BANKING,Dena Bank,BKDN,RAZORPAY
130,,,,,NET_BANKING,Dhanlakshmi Bank,DLXB,RAZORPAY
131,,,,,NET_BANKING,Federal Bank,FDRL,RAZORPAY
132,,,,,NET_BANKING,HDFC,HDFC,RAZORPAY
133,,,,,NET_BANKING,ICICI,ICIC,RAZORPAY
134,,,,,NET_BANKING,IDBI,IBKL,RAZORPAY
135,,,,,NET_BANKING,IDFC,IDFB,RAZORPAY
136,,,,,NET_BANKING,IndusInd Bank,INDB,RAZORPAY
137,,,,,NET_BANKING,Indian Bank,IDIB,RAZORPAY
138,,,,,NET_BANKING,Indian Overseas Bank,IOBA,RAZORPAY
139,,,,,NET_BANKING,Jammu & Kashmir Bank,JAKA,RAZORPAY
140,,,,,NET_BANKING,Janata Sahakari bank,JSBP,RAZORPAY
141,,,,,NET_BANKING,Karnataka Bank Ltd,KARB,RAZORPAY
142,,,,,NET_BANKING,Karur Vysya Bank,KVBL,RAZORPAY
143,,,,,NET_BANKING,NKGSB Bank,NKGS,RAZORPAY
144,,,,,NET_BANKING,Oriental Bank of Commerce,ORBC,RAZORPAY
145,,,,,NET_BANKING,Punjab & Maharastra Coop Bank,PMCB,RAZORPAY
146,,,,,NET_BANKING,Punjab National Bank - Retail Banking,PUNB_R,RAZORPAY
147,,,,,NET_BANKING,Punjab & Sind Bank,PSIB,RAZORPAY
148,,,,,NET_BANKING,RBL Bank,RATN,RAZORPAY
149,,,,,NET_BANKING,State Bank of Hyderabad,SBHY,RAZORPAY
150,,,,,NET_BANKING,State Bank of Bikaner & Jaipur,SBBJ,RAZORPAY
151,,,,,NET_BANKING,State Bank of Mysore,SBMY,RAZORPAY
152,,,,,NET_BANKING,State Bank of Patiala,STBP,RAZORPAY
153,,,,,NET_BANKING,State Bank of Travancore,SBTR,RAZORPAY
154,,,,,NET_BANKING,Standard Chartered Bank,SCBL,RAZORPAY
155,,,,,NET_BANKING,South Indian Bank,SIBL,RAZORPAY
156,,,,,NET_BANKING,Shamrao Vitthal Co-operative Bank,SVCB,RAZORPAY
157,,,,,NET_BANKING,Saraswat Bank,SRCB,RAZORPAY
158,,,,,NET_BANKING,Syndicate Bank,SYNB,RAZORPAY
159,,,,,NET_BANKING,Tamilnad Mercantile Bank Ltd.,TMBL,RAZORPAY
160,,,,,NET_BANKING,Tamilnadu State Coop Bank,TNSC,RAZORPAY
161,,,,,NET_BANKING,Union Bank of India,UBIN,RAZORPAY
162,,,,,NET_BANKING,UCO Bank,UCBA,RAZORPAY
163,,,,,NET_BANKING,United Bank of India,UTBI,RAZORPAY
164,,,,,NET_BANKING,AXIS Bank,UTIB,RAZORPAY
165,,,,,NET_BANKING,Vijaya Bank,VIJB,RAZORPAY
166,,,,,NET_BANKING,Yes Bank Ltd,YESB,RAZORPAY
167,,,,,NET_BANKING,DCB Bank,DCBL,RAZORPAY
168,,,,,NET_BANKING,Equitas Small Finance Bank,ESFB,RAZORPAY
169,,,,,NET_BANKING,ICICI Bank - Corporate Banking,ICIC_C,RAZORPAY
170,,,,,NET_BANKING,Lakshmi Vilas Bank - Corporate Banking,LAVB_C,RAZORPAY
171,,,,,NET_BANKING,Lakshmi Vilas Bank - Retail Banking,LAVB_R,RAZORPAY
